cal,VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
3pt,135,medium,normal,135,Medium Density,70.65,70.90430619748271,25.434,26.133957587277326,2.826,2.7501380045469612,-0.3613726710879179
3pt,135,medium,normal,135,High Density,141.3,139.59712200334837,50.868,50.3264488878219,5.652,4.876225310737929,-0.3613726710879179
3pt,135,large,low,135,Low Density,4.415625,4.450158567587171,1.589625,1.8078027992567067,0.176625,0.3990258225887763,-0.004759622369912182
3pt,135,large,low,135,Medium Density,8.83125,9.462674419806909,3.17925,3.6134878096908682,0.35325,0.6929187789574811,-0.004759622369912182
3pt,135,large,low,135,High Density,17.6625,17.253806888895788,6.3585,6.067436101854641,0.7065,1.3287534795063511,-0.004759622369912182
3pt,135,large,normal,135,Low Density,35.325,35.863592714608764,12.717,13.57907249266636,1.413,1.6625667186097002,-0.6373921837673322
3pt,135,large,normal,135,Medium Density,70.65,71.16109802050427,25.434,25.140849276386913,2.826,3.6669848073055515,-0.6373921837673322
3pt,135,large,normal,135,High Density,141.3,136.4056980266702,50.868,49.04871781589145,5.652,5.890222894554372,-0.6373921837673322
6pt,80,small,low,80,Low Density,4.415625,4.388277634350987,1.589625,1.7562318624926125,0.176625,-0.03679375077231359,0.311701695399943
6pt,80,small,low,80,Medium Density,8.83125,9.309928541095898,3.17925,3.376031964714487,0.35325,0.8294045655257727,0.311701695399943
6pt,80,small,low,80,High Density,17.6625,18.229587212195195,6.3585,6.3559029258783895,0.7065,0.034307144659995806,0.311701695399943
6pt,80,small,normal,80,Low Density,35.325,37.83275911775807,12.717,13.847200724606262,1.413,1.9167517257611664,-0.29068371798418563
6pt,80,small,normal,80,Medium Density,70.65,72.34054562268442,25.434,27.222938249535016,2.826,2.827813648298271,-0.29068371798418563
6pt,80,small,normal,80,High Density,141.3,144.89342348113232,50.868,51.94498416938819,5.652,6.016840734252625,-0.29068371798418563
6pt,80,medium,low,80,Low Density,4.415625,5.823770374110545,1.589625,2.7983258384109853,0.176625,-0.037102342473685455,0.3770220544806451
6pt,80,medium,low,80,Medium Density,8.83125,10.401635725781375,3.17925,3.2806535452441112,0.35325,0.8170584781621116,0.3770220544806451
6pt,80,medium,low,80,High Density,17.6625,18.40110732808962,6.3585,6.828520061932884,0.7065,1.0614157639821338,0.3770220544806451
6pt,80,medium,normal,80,Low Density,35.325,35.98266353225754,12.717,12.948948328266338,1.413,2.104435903548382,-0.38431176738478134
6pt,80,medium,normal,80,Medium Density,70.65,70.30438269750351,25.434,26.018504733929117,2.826,2.8876148868679055,-0.38431176738478134
6pt,80,medium,normal,80,High Density,141.3,141.8171351100784,50.868,52.001081307685155,5.652,5.261695892820754,-0.38431176738478134
6pt,80,large,low,80,Low Density,4.415625,6.959919274784048,1.589625,1.0032879445886984,0.176625,-0.03409808878120572,0.6693672750031502
6pt,80,large,low,80,Medium Density,8.83125,9.987717190472509,3.17925,2.792836189340232,0.35325,0.43327301367496895,0.6693672750031502
6pt,80,large,low,80,High Density,17.6625,18.706119495000923,6.3585,5.126607797245227,0.7065,0.1366041254928102,0.6693672750031502
6pt,80,large,normal,80,Low Density,35.325,34.43927968888005,12.717,12.557612634104201,1.413,1.688853460173784,0.8560416419553569
6pt,80,large,normal,80,Medium Density,70.65,69.37073967917695,25.434,25.621336562224293,2.826,3.540363095632988,0.8560416419553569
6pt,80,large,normal,80,High Density,141.3,138.46588693438505,50.868,49.4392373829775,5.652,5.8926060565523475,0.8560416419553569
